"codice_ipa","denominazione","codice_fiscale","mail","mail_pec","codice_tipologia","codice_localizzazione"
"c_a485","Comune di Atessa","81000470690","comunediatessa@pec.it",t,"L6",391
"c_a487","Comune di Atrani","00463010652","ragioneria.atrani@asmepec.it",t,"L6",393
"c_a488","Comune di Atri","00076610674","postacert@pec.comune.atri.te.it",t,"L6",394
"c_a489","Comune di Atripalda","00095990644","comune.atripalda@legalmail.it",t,"L6",395
"c_a495","Comune di Auletta","00557630654","uffsegreteria.auletta@asmepec.it",t,"L6",401
"c_a496","Comune di Aulla","81003750452","comune.aulla@postacert.toscana.it",t,"L6",402
"c_a497","Comune di Aurano","00475640033","aurano@pec.it",t,"L6",403
"c_a499","Comune di Aurigo","00249310087","ragioneria.aurigo@pec.it",t,"L6",404
"c_a502","Comune di Ausonia","81002590602","comunediausonia@postecert.it",t,"L6",406
"c_a503","Comune di Austis","00180590911","austis.comune@cert.ollsys.it",t,"L6",407
"c_a511","Comune di Averara","85002410166","comune.averara@pec.regione.lombardia.it",t,"L6",412
"c_a512","Comune di Aversa","81000970616","postacertificata@comuneaversa.it",t,"L6",413
"c_a515","Comune di Avezzano","81002910669","comune.avezzano.aq@postecert.it",t,"L6",415
"c_a516","Comune di Aviano","00090320938","comune.aviano@certgov.fvg.it",t,"L6",416
"c_a518","Comune di Avigliana","01655950010","comuneavigliana@cert.legalmail.it",t,"L6",418
"c_a520","Comune di Avio","00110390226","segreteria@pec.comune.avio.tn.it",t,"L6",421
"c_a521","Comune di Avise","80003230077","protocollo@pec.comune.avise.ao.it",t,"L6",422
"c_a523","Comune di Avolasca","00433810066","protocollo@pec.comune.avolasca.al.it",t,"L6",424
"c_a525","Comune di Azeglio","84000970016","protocollo.azeglio@cert.ruparpiemonte.it",t,"L6",427
"c_a527","Comune di Azzano D'Asti","80003010057","comune.azzano.at@cert.legalmail.it",t,"L6",429
"C_A528","Comune di Azzano San Paolo","00681530168","comuneazzanosanpaolo@pec.it",t,"L6",432
"c_a530","Comune di Azzano Decimo","80001730938","comune.azzanodecimo@certgov.fvg.it",t,"L6",430
"c_a531","Comune di Azzate","00308140128","comunediazzate@postemailcertificata.it",t,"L6",433
"c_a532","Comune di Azzio","00605220128","comune.azzio.va@halleycert.it",t,"L6",434
"c_a533","Comune di Azzone","00579440165","comune.azzone@pec.it",t,"L6",435
"c_a534","Comune di Baceno","00422770032","baceno@pec.it",t,"L6",436
"c_a536","Comune di Badalucco","00250450087","comunedibadalucco@legpec.it",t,"L6",438
"c_a538","Comune di Badia Pavese","81001830181","protocollo.comune.badiapavese@pec.regione.lombardia.it",t,"L6",442
"c_a539","Comune di Badia Polesine","82000390292","segreteria.comune.badiapolesine.ro@pecveneto.it",t,"L6",443
"c_a540","Comune di Badia Calavena","83002470231","comune.badiacalavena@pec.it",t,"L6",441
"c_a544","Comune di Bagaladi","00283390805","comune.bagaladi@asmepec.it",t,"L6",446
"c_a550","Comune di Bagnaria","86003510186","comune.bagnaria@pec.provincia.pv.it",t,"L6",451
"c_a552","Comune di Bagnara Calabra","80002470807","ragioneria@pec.comunebagnara.it",t,"L6",449
"c_a553","Comune di Bagnaria Arsa","00461800302","comune.bagnariaarsa@legalmail.it",t,"L6",452
"c_a555","Comune di Bagnasco","00508220043","comune.bagnasco.cn@legalmail.it",t,"L6",453
"c_a557","Comune di Bagnatica","00720170166","info@pec.comune.bagnatica.bg.it",t,"L6",454
"c_a560","Comune di Bagni di Lucca","00211170469","comunebagnidilucca@postacert.toscana.it",t,"L6",455
"c_a561","Comune di Montecatini Terme","00181660473","comune.montecatiniterme@postacert.toscana.it",t,"L6",4276
"c_a562","Comune di San Giuliano Terme","00332700509","comune.sangiulianoterme@postacert.toscana.it",t,"L6",6216
"c_a564","Comune di Bagno a Ripoli","01329130486","comune.bagno-a-ripoli@postacert.toscana.it",t,"L6",456
"c_a565","Comune di Bagno di Romagna","81000330407","comune.bagnodiromagna@cert.provincia.fc.it",t,"L6",457
"c_a566","Comune di Bagnoli Irpino","00133870642","protocollo.bagnoliirpino@cert.irpinianet.eu",t,"L6",460
"c_a567","Comune di Bagnoli del Trigno","00069680940","bagnolideltrigno@pec.it",t,"L6",458
"c_a569","Comune di Bagnolo Mella","00453990178","protocollo@pec.comune.bagnolomella.bs.it",t,"L6",465
"c_a570","Comune di Bagnolo Cremasco","00116170192","comune.bagnolocremasco@mailcert.cremasconline.it",t,"L6",461
"c_a571","Comune di Bagnolo Piemonte","00486530041","comune.bagnolo.cn@legalmail.it",t,"L6",466
"c_a572","Comune di Bagnolo del Salento","83000210753","segreteria.bagnolodelsalento@pec.rupar.puglia.it",t,"L6",462
"c_a573","Comune di Bagnolo In Piano","00441280351","bagnolo@cert.provincia.re.it",t,"L6",464
"c_a575","Comune di Bagnolo San Vito","00438900201","bagnolosanvito.mn@legalmail.it",t,"L6",467
"c_a577","Comune di Bagnoregio","00094410560","comune.bagnoregio.vt@legalmail.it",t,"L6",469
"c_a578","Comune di Bagolino","00822580171","protocollo@pec.comune.bagolino.bs.it",t,"L6",470
"C_A579","Comune di Baia E Latina","80010110619","segreteria.baiaelatina@asmepec.it",t,"L6",471
"c_a580","Comune di Baiano","00245240643","protocollo.baiano@asmepec.it",t,"L6",472
"c_a581","Comune di Bajardo","00208720086","bajardo@pec.comunebajardo.it",t,"L6",475
"c_a584","Comune di Bairo","83501730010","bairo@postemailcertificata.it",t,"L6",473
"c_a586","Comune di Baiso","80019170358","comune.baiso@legalmail.it",t,"L6",474
"c_a587","Comune di Balangero","01834020016","segreteria.balangero@pec.it",t,"L6",476
"c_a588","Comune di Baldichieri d'Asti","80003030055","baldichieri.dasti@cert.ruparpiemonte.it",t,"L6",477
"c_a589","Comune di Baldissero D'Alba","81000370049","baldissero.dalba@cert.ruparpiemonte.it",t,"L6",479
"c_a590","Comune di Baldissero Canavese","83501370015","segreteria.baldisserocanavese@actaliscertymail.it",t,"L6",478
"c_a591","Comune di Baldissero Torinese","90002900018","anagrafe.baldissero.torinese@cert.ruparpiemonte.it",t,"L6",480
"c_a592","Comune di Balestrate","80023250824","comunebalestrate@pec.it",t,"L6",481
"c_a593","Comune di Balestrino","00338410095","protocollo.comune.balestrino.sv@legalmail.it",t,"L6",482
"c_a594","Comune di Ballabio","00548170133","comune.ballabio@legalmail.it",t,"L6",483
"c_a597","Comune di Ballao","80001950924","protocolloballao@servizipostacert.it",t,"L6",484
"c_a599","Comune di Balme","83002910012","balme@pec.comune.balme.to.it",t,"L6",485
"c_a600","Comune di Balmuccia","82000110021","balmuccia@cert.ruparpiemonte.it",t,"L6",486
"c_a601","Comune di Balocco","00425380029","comune.balocco.vc@legalmail.it",t,"L6",487
"c_a604","Comune di Balvano","80001850769","demografici.balvano@cert.ruparbasilicata.it",t,"L6",489
"c_a605","Comune di Balzola","00450010061","balzola@pcert.it",t,"L6",490
"c_a607","Comune di Banchette","84000990014","banchette@cert.ruparpiemonte.it",t,"L6",492
"c_a609","Comune di Villa Verde","00073870958","comune.villaverde@legalmail.it",t,"L6",7845
"c_a610","Comune di Bannio Anzino","00417230034","comune.bannioanzino@legalmail.it",t,"L6",493
"c_a612","Comune di Banzi","86000030766","comune.banzi@cert.ruparbasilicata.it",t,"L6",494
"c_a613","Comune di Baone","82004450282","baone.pd@cert.ip-veneto.net",t,"L6",495
"c_a614","Comune di Baradili","80007220959","protocollo@pec.comune.baradili.or.it",t,"L6",496
"c_a615","Comune di Baragiano","","comune.baragiano@cert.ruparbasilicata.it",t,"L6",497
"c_a621","Comune di Baratili San Pietro","00074690959","protocollo@pec.comune.baratilisanpietro.or.it",t,"L6",502
"c_a625","Comune di Barbania","83000050019","barbania@cert.ruparpiemonte.it",t,"L6",503
"c_a626","Comune di Barbara","00176320422","comune.barbara@emarche.it",t,"L6",504
"c_a627","Comune di Barbarano Vicentino","00553120247","barbaranovicentino.vi@cert.ip-veneto.net",t,"L6",506
"c_a628","Comune di Barbarano Romano","80009990567","comune.barbaranoromano@pec.it",t,"L6",505
"c_a629","Comune di Barbaresco","00417680048","barbaresco@cert.ruparpiemonte.it",t,"L6",507
"c_a630","Comune di Barbariga","88000370176","uffprotocollo@pec.comune.barbariga.bs.it",t,"L6",508
"c_a631","Comune di Barbata","00678470162","comune.barbata@pec.regione.lombardia.it",t,"L6",509
"c_a632","Comune di Barberino di Mugello","00649380482","barberino-di-mugello@postacert.toscana.it",t,"L6",510
"c_a633","Comune di Barberino Val D'Elsa","01337910481","barberinovaldelsa@postacert.toscana.it",t,"L6",511
"c_a634","Comune di Barbianello","84000410187","comune.barbianello@pec.provincia.pv.it",t,"L6",512
"c_a637","Comune di Barbona","82001970282","comune.barbona.pd@pecveneto.it",t,"L6",514
"c_a638","Comune di Barcellona Pozzo di Gotto","00084640838","comunebarcellonapdg@postecert.it",t,"L6",515
"c_a639","Comune di Barchi","81001750413","comunebarchi@pecitaly.it",t,"L6",516
"c_a640","Comune di Barcis","81000610931","comune.barcis@certgov.fvg.it",t,"L6",517
"c_a645","Comune di Bardello","00247570120","comune.bardello@pec.regione.lombardia.it",t,"L6",519
"c_a646","Comune di Bardi","00486500341","protocollo@postacert.comune.bardi.pr.it",t,"L6",520
"c_a647","Comune di Bardineto","00339030090","milenagerini@legalmail.it",t,"L6",521
"c_a651","Comune di Bardonecchia","86501270010","comune.bardonecchia@pec.it",t,"L6",523
"c_a652","Comune di Bareggio","82000710150","comune.bareggio@pec.regione.lombardia.it",t,"L6",524
"c_a653","Comune di Barengo","80000370033","barengo@postemailcertificata.it",t,"L6",525
"c_a655","Comune di Baressa","80030310959","protocollo@pec.comune.baressa.or.it",t,"L6",526
"c_a656","Comune di Barete","00148360662","comune.barete.aq@legalmail.it",t,"L6",527
"c_a657","Comune di Barga","00369370465","comune.barga@postacert.toscana.it",t,"L6",528
"c_a660","Comune di Barge","00398040048","barge@cert.ruparpiemonte.it",t,"L6",530
"c_a661","Comune di Barghe","00760040170","protocollo@pec.comune.barghe.bs.it",t,"L6",531
"c_a662","Comune di Bari","80015010723","archiviogenerale.comunebari@pec.rupar.puglia.it",t,"L6",532
"c_a663","Comune di Barisardo","82001410917","protocollo@pec.comunedibarisardo.gov.it",t,"L6",533
"c_a664","Comune di Bariano","83000390167","comune.bariano@legalmail.it",t,"L6",534
"c_a665","Comune di Baricella","01042180370","comune.baricella@cert.provincia.bo.it",t,"L6",535
"c_a667","Comune di Barisciano","00195850664","amministrazione@pec.comunebarisciano.it",t,"L6",537
"c_a668","Comune di Barlassina","01516690151","comune.barlassina@pec.regione.lombardia.it",t,"L6",538
"c_a671","Comune di Barolo","00420860041","barolo@pec.langabarolo.it",t,"L6",541
"c_a673","Comune di Barone Canavese","01385030018","barone.canavese@cert.ruparpiemonte.it",t,"L6",542
"c_a674","Comune di Baronissi","80032710651","prot.comune.baronissi.sa@pec.it",t,"L6",543
"c_a676","Comune di Barrafranca","80003210863","comune.barrafranca@pec.aruba.it",t,"L6",544
"c_a677","Comune di Barrali","80019570920","protocollo.barrali@pec.comunas.it",t,"L6",545
"c_a678","Comune di Barrea","82000470664","comune.barrea@pec.it",t,"L6",546
"c_a681","Comune di Barumini","02431060926","segreteria.barumini@pec.comunas.it",t,"L6",547
"c_a686","Comune di Barzano'","85001610139","protocollo@cert.comune.barzano.lc.it",t,"L6",550
"c_a687","Comune di Barzio","00444270136","comune.barzio.lc@halleycert.it",t,"L6",551
"c_a689","Comune di Basaluzzo","00433600061","amministrazione-basaluzzo@pec.it",t,"L6",552
"c_a691","Comune di Baschi","81001350552","comune.baschi@postacert.umbria.it",t,"L6",554
"c_a692","Comune di Basciano","80002910679","postacert@pec.comune.basciano.te.it",t,"L6",555
"c_a694","Comune di Baselga di Pine'","00146270228","comunebaselgadipine@pec.it",t,"L6",556
"c_a696","Comune di Baselice","82002220620","ecofin.baselice@asmepec.it",t,"L6",557
"c_a697","Comune di Basiano","83504250156","basiano@pec.it",t,"L6",558
"c_a698","Comune di Basico'","83000790838","protocollo@pec.comune.basico.me.it",t,"L6",559
"c_a699","Comune di Basiglio","80109890154","basiglio@postacert.comune.basiglio.mi.it",t,"L6",560
"c_a700","Comune di Basiliano","80006630307","comune.basiliano@certgov.fvg.it",t,"L6",561
"C_A703","Comune di Bassano del Grappa","00168480242","bassanodelgrappa.vi@cert.ip-veneto.net",t,"L6",563
"c_a705","Comune di Tronzano Lago Maggiore","84002870123","comune.tronzanolagomaggiore@pec.it",t,"L6",7441
"c_a708","Comune di Bassignana","00377090063","comunebassignana@postecert.it",t,"L6",567
"c_a710","Comune di Bastia Umbra","00385230545","comune.bastiaumbra@postacert.umbria.it",t,"L6",569
"c_a712","Comune di Bastida Pancarana","86001910180","comune.bastidapancarana@pec.provincia.pv.it",t,"L6",570
"c_a713","Comune di Bastiglia","00686230368","comunedibastiglia@cert.comune.bastiglia.mo.it",t,"L6",571
"c_a714","Comune di Battaglia Terme","82002930285","battagliaterme.pd@cert.ip-veneto.net",t,"L6",572
"c_a716","Comune di Battifollo","00541410049","battifollo@cert.ruparpiemonte.it",t,"L6",573
"c_a717","Comune di Battipaglia","82001330651","protocollo@pec.comune.battipaglia.sa.it",t,"L6",574
"c_a718","Comune di Battuda","","comune.battuda@pec.provincia.pv.it",t,"L6",575
"c_a719","Comune di Baucina","86000790823","protocollo@pec.comune.baucina.pa.it",t,"L6",576
"c_a721","Comune di Bauladu","00072000953","comune.bauladu@anutel.it",t,"L6",577
"c_a722","Comune di Baunei","82001690914","protocollo@pec.comunedibaunei.it",t,"L6",578
"c_a725","Comune di Baveno","00388490039","baveno@postemailcertificata.it",t,"L6",579
"c_a726n","Comune di Valsamoggia","03334231200","comune.valsamoggia@cert.provincia.bo.it",t,"L6",7605
"c_a729","Comune di Bedizzole","00760050179","comune.bedizzole@legalmail.it",t,"L6",581
"c_a730","Comune di Bedollo","80005890225","comune@pec.comune.bedollo.tn.it",t,"L6",582
"c_a731","Comune di Bedonia","00442130340","protocollo@postacert.comune.bedonia.pr.it",t,"L6",583
"c_a732","Comune di Bedulita","","bedulitacomune@pec.it",t,"L6",584
"c_a733","Comune di Bee","00588010033","bee@cert.ruparpiemonte.it",t,"L6",585
"c_a734","Comune di Beinasco","02042100012","protocollo@comune.beinasco.legalmail.it",t,"L6",586
"c_a735","Comune di Beinette","00395900046","beinette@cert.ruparpiemonte.it",t,"L6",587
"c_a737","Comune di Belfiore","83000210233","belfiore.vr@pec.wmail.it",t,"L6",589
"c_a739","Comune di Belforte del Chienti","00269440434","comune.belforte.mc@legalmail.it",t,"L6",591
"c_a740","Comune di Belforte all'Isauro","82004150411","comune.belforteisauro@emarche.it",t,"L6",590
"c_a742","Comune di Belgirate","00433350030","belgirate@pec.it",t,"L6",594
"c_a743","Comune di Bella","00224880765","protocollo@pec.comune.bella.pz.it",t,"L6",595
"c_a745","Comune di Bellano","00563380138","comune-bellano@legalmail.it",t,"L6",597
"c_a746","Comune di Bellante","00212050678","protocollo@pec.comune.bellante.te.it",t,"L6",598
"c_a747","Comune di Bellaria Igea Marina","00250950409","pec@pec.comune.bellaria-igea-marina.rn.it",t,"L6",599
"c_a750","Comune di Bellino","00534820048","bellino@postemailcertificata.it",t,"L6",601
"c_a751","Comune di Bellinzago Lombardo","01554230159","protocollo@pec.bellinzago-lombardo.it",t,"L6",602
"c_a752","Comune di Bellinzago Novarese","00190090035","municipio@pec.comune.bellinzago.no.it",t,"L6",603
"c_a757","Comune di Belluno","00132550252","belluno.bl@cert.ip-veneto.net",t,"L6",607
"c_a759","Comune di Bellusco","03352640159","comune.bellusco@pec.regione.lombardia.it",t,"L6",608
"c_a760","Comune di Belmonte Piceno","81001490440","comune.belmontepiceno@pec.it",t,"L6",614
"c_a761","Comune di Belmonte del Sannio","00056600943","belmontedelsannio@pec.leonet.it",t,"L6",611
"c_a763","Comune di Belmonte Castello","91009990606","comunedibelmontecastello@postecert.it",t,"L6",610
"c_a765","Comune di Belmonte in Sabina","00111240578","comune.belmonteinsabina.ri@pec.it",t,"L6",612
"c_a766","Comune di Belpasso","80008430870","protocollo@pec.comune.belpasso.ct.it",t,"L6",615
"c_a768","Comune di Belsito","80005990785","sindaco.belsito@asmepec.it",t,"L6",616
"c_a769","Comune di Belvedere Ostrense","00185520426","segreteria.belvedere@emarche.it",t,"L6",620
"c_a770","Comune di Belveglio","82000270056","comune.belveglio.at@cert.legalmail.it",t,"L6",621
"c_a772","Comune di Belvedere di Spinello","00338420797","ragioneria.belvederespinello@asmepec.it",t,"L6",617
"c_a774","Comune di Belvedere Langhe","00523920049","comune.belvederelanghe.cn@legalmail.it",t,"L6",618
"c_A776","Comune di Belvi'","00161980917","comune.belvi@legalmail.it",t,"L6",622
"c_a777","Comune di Bema","00090830142","protocollo.bema@cert.provincia.so.it",t,"L6",623
"c_a778","Comune di Bene Lario","00467880134","comune.benelario@pec.regione.lombardia.it",t,"L6",624
"c_a779","Comune di Bene Vagienna","83000590048","bene.vagienna@cert.ruparpiemonte.it",t,"L6",625
"c_a780","Comune di Benestare","81000530808","uff.protocollo.benestare@asmepec.it",t,"L6",626
"c_a781","Comune di Benetutti","00289880908","protocollo@pec.comune.benetutti.ss.it",t,"L6",627
"c_a782","Comune di Benevello","00490200045","comune.benevello.cn@cert.legalmail.it",t,"L6",628
"c_a784","Comune di Benna","81003850021","benna@pec.ptbiellese.it",t,"L6",630
"c_a785","Comune di Bentivoglio","80008130371","comune.bentivoglio@cert.provincia.bo.it",t,"L6",631
"c_a786","Comune di Berbenno","00313890162","comuneberbenno@legalmail.it",t,"L6",632
"c_a787","Comune di Berbenno di Valtellina","00109690149","comune.berbenno@pec.retesi.it",t,"L6",633
"c_a789","Comune di Berchidda","00111140901","protocollo@pec.comune.berchidda.ot.it",t,"L6",635
"c_a791","Comune di Beregazzo Con Figliaro","00596540138","comune.beregazzoconfigliaro@pec.provincia.como.it",t,"L6",636
"c_a792","Comune di Bereguardo","00471320184","comune.bereguardo@pec.provincia.pv.it",t,"L6",637
"c_a793","Comune di Bergamasco","00431930064","bergamasco@cert.ruparpiemonte.it",t,"L6",638
"c_a794","Comune di Bergamo","80034840167","protocollo@cert.comune.bergamo.it",t,"L6",639
"c_a796","Comune di Bergeggi","00245250097","protocollo@pec.comune.bergeggi.sv.it",t,"L6",641
"c_a798","Comune di Bergolo","00511030041","comune.bergolo.cn@cert.legalmail.it",t,"L6",642
"c_a799","Comune di Berlingo","00955490172","protocollo@pec.comune.berlingo.bs.it",t,"L6",643
"c_a802","Comune di Bernareggio","87001490157","protocollo@comunebernareggio.org",t,"L6",645
"c_a804","Comune di Bernate Ticino","03365620156","bernateticino@legalmail.it",t,"L6",646
"c_a805","Comune di Bernezzo","00479150047","bernezzo@cert.legalmail.it",t,"L6",647
"c_a806","Comune di Berra","00308420389","comune.berra.fe@legalmail.it",t,"L6",648
"c_a809","Comune di Bertinoro","80002170407","protocollo@pec.comune.bertinoro.fc.it",t,"L6",649
"c_a810","Comune di Bertiolo","00465330306","comune.bertiolo@certgov.fvg.it",t,"L6",650
"c_a811","Comune di Bertonico","82502570151","comune.bertonico@pec.regione.lombardia.it",t,"L6",651
"c_a812","Comune di Berzano di San Pietro","92035370052","berzano.di.san.pietro@cert.ruparpiemonte.it",t,"L6",652
"c_a815","Comune di Berzo San Fermo","00566590162","protocollo@comuneberzosanfermo.legalmail.it",t,"L6",656
"c_a816","Comune di Berzo Demo","00715580171","protocollo@pec.comune.berzo-demo.bs.it",t,"L6",654
"c_a817","Comune di Berzo Inferiore","00903350171","protocollo@pec.comune.berzo-inferiore.bs.it",t,"L6",655
"c_a818","Comune di Besana in Brianza","01556360152","protocollo@pec.comune.besanainbrianza.mb.it",t,"L6",657
"c_a819","Comune di Besano","00561660127","comune.besano@pec.regione.lombardia.it",t,"L6",658
"c_a820","Comune di Besate","04935080152","protocollo.besate@legalpec.it",t,"L6",659
"c_a821","Comune di Besenello","00149110223","comunedibesenello@pec.it",t,"L6",660
"c_a823","Comune di Besenzone","00212360333","comune.besenzone@sintranet.legalmail.it",t,"L6",661
"c_a825","Comune di Besnate","00249600123","protocollo@pec.comune.besnate.va.it",t,"L6",662
"c_a826","Comune di Besozzo","00338010127","comune.besozzo.va@halleycert.it",t,"L6",663
"c_a827","Comune di Bessude","80005300902","finanziario.bessude@pec.comunas.it",t,"L6",664
"c_a831","Comune di Bettola","00220720338","protocollo@pec.comune.bettola.pc.it",t,"L6",665
"c_a832","Comune di Bettona","00384000543","segreteria@pec.comune.bettona.pg.it",t,"L6",666
"c_a835","Comune di Bevagna","00450620547","comune.bevagna@postacert.umbria.it",t,"L6",668
"c_a837","Comune di Bevilacqua","82001750239","segreteria.bevilacqua@pec.comune.bevilacqua.vr.it",t,"L6",670
"c_a841","Comune di Biancavilla","80009050875","protocollo@pec.comune.biancavilla.ct.it",t,"L6",671
"c_a843","Comune di Bianco","81000770800","comune.bianco@asmepec.it",t,"L6",673
"c_a844","Comune di Biandrate","00310870035","biandrate@pcert.it",t,"L6",674
"c_a845","Comune di Biandronno","00308160126","protocollo@pec.comune.biandronno.va.it",t,"L6",675
"c_a846","Comune di Bianzano","00633530167","protocollo@comunebianzano.legalmail.it",t,"L6",676
"c_a847","Comune di Bianze'","84500430024","bianze@cert.ruparpiemonte.it",t,"L6",677
"c_a848","Comune di Bianzone","00110960143","protocollo.bianzone@cert.provincia.so.it",t,"L6",678
"c_a849","Comune di Biassono","02336340159","biassono@pec.it",t,"L6",679
"c_a850","Comune di Bibbiano","00452960354","bibbiano@cert.provincia.re.it",t,"L6",680
"c_a851","Comune di Bibbiena","00137130514","bibbiena@postacert.toscana.it",t,"L6",681
"c_a852","Comune di Bibbona","00286130497","comune.bibbona@pec.it",t,"L6",682
"c_a853","Comune di Bibiana","02089080010","postacert@pec.comunebibiana.it",t,"L6",683
"c_a855","Comune di Bicinicco","00468950308","comune.bicinicco@certgov.fvg.it",t,"L6",685
"c_a856","Comune di Bidoni'","80005650959","protocollo@pec.comune.bidoni.or.it",t,"L6",686
"c_a859","Comune di Biella","00221900020","protocollo.comunebiella@pec.it",t,"L6",687
"C_A861","Comune di Bienno","81002430171","protocollo@pec.comune.bienno.bs.it",t,"L6",688
"c_a863","Comune di Bieno","00347080228","comune@pec.comune.bieno.tn.it",t,"L6",689
"c_a864","Comune di Bientina","00188060503","comune.bientina.pi.it@cert.legalmail.it",t,"L6",690
"c_a866","Comune di Bigarello","80001370206","comune.bigarello@pec.regione.lombardia.it",t,"L6",691
"c_a870","Comune di Binago","00490260130","comune.binago@pec.regione.lombardia.it",t,"L6",692
"C_A872","Comune di Binasco","80121330155","comune.binasco@legalmail.it",t,"L6",693
"c_a874","Comune di Binetto","80008530729","comunedibinetto@pec.it",t,"L6",694
"c_a877","Comune di Bionaz","80004390078","protocollo@pec.comune.bionaz.ao.it",t,"L6",696
"c_a878","Comune di Bione","00706830171","protocollo@pec.comune.bione.bs.it",t,"L6",697
"c_a882","Comune di Bisacquino","84000450829","protocollo@pec.comune.bisacquino.pa.it",t,"L6",700
"c_a883","Comune di Bisceglie","83001630728","protocollogenerale@cert.comune.bisceglie.bt.it",t,"L6",701
"c_a885","Comune di Bisenti","00195310677","comunebisenti@pec.it",t,"L6",703
"c_a889","Comune di Bistagno","00469220065","bistagno@cert.ruparpiemonte.it",t,"L6",705
"c_a891","Comune di Bisuschio","00269810123","comune.bisuschio@pec.regione.lombardia.it",t,"L6",706
"c_a892","Comune di Bitetto","00939820726","demografici@pec.comune.bitetto.ba.it",t,"L6",707
"c_d372","Comune di Dronero","00183100049","comunedronero@postecert.it",t,"L6",2596
"c_a893","Comune di Bitonto","00382650729","protocollo.comunebitonto@pec.rupar.puglia.it",t,"L6",708
"c_a895","Comune di Bitti","80006550919","protocollo@pec.comune.bitti.nu.it",t,"L6",710
"c_a896","Comune di Bivona","80003970847","bivona.prot@pec.it",t,"L6",711
"c_a898","Comune di Bizzarone","00703370130","comune.bizzarone@pec.provincia.como.it",t,"L6",713
"c_a902","Comune di Bleggio Superiore","00308700228","comune@pec.comune.bleggiosuperiore.tn.it",t,"L6",714
"c_a903","Comune di Blello","00707790168","COMUNE.BLELLO@PEC.REGIONE.LOMBARDIA.IT",t,"L6",715
"c_a904","Comune di Blessagno","00680420130","comune.blessagno@pec.provincia.como.it",t,"L6",717
"c_a905","Comune di Blevio","00565430139","comune.blevio@pec.regione.lombardia.it",t,"L6",718
"c_a906","Comune di Boara Pisani","82002770285","boarapisani.pd@cert.ip-veneto.net",t,"L6",720
"c_a909","Comune di Bobbio","00179440334","comune.bobbio@sintranet.legalmail.it",t,"L6",721
"c_a910","Comune di Bobbio Pellice","02168110019","protocollo.comunebobbiopellice@pec.it",t,"L6",722
"c_a911","Comune di Boca","82000510030","amministrazione_boca@pec.it",t,"L6",723
"c_a912","Comune di Bocchigliero","87000030780","sindaco.bocchigliero@asmepec.it",t,"L6",724
"c_a914","Comune di Boccioleto","82000130029","boccioleto@cert.ruparpiemonte.it",t,"L6",725
"c_a916","Comune di Bocenago","00266100221","comune@pec.comune.bocenago.tn.it",t,"L6",726
"c_a919","Comune di Boffalora d'Adda","","comune.boffaloradadda@pec.regione.lombardia.it",t,"L6",728
"c_a929","Comune di Bogogno","00429660038","bogogno@cert.ruparpiemonte.it",t,"L6",732
"c_a930","Comune di Bojano","80002190702","protocollo@pec.comune.bojano.cb.it",t,"L6",734
"c_a931","Comune di Boissano","81001410091","protocollo@pec.comune.boissano.sv.it",t,"L6",733
"c_a932","Comune di Bolano","00101560118","comune.bolano@anutel.it",t,"L6",735
"c_a933","Comune di Bolbeno","86002450228","comune@pec.comune.bolbeno.tn.it",t,"L6",736
"c_a937","Comune di Bolgare","00240930164","comune.bolgare@cert.legalmail.it",t,"L6",737
"c_a940","Comune di Bollate","00801220153","comune.bollate@legalmail.it",t,"L6",738
"c_a941","Comune di Bollengo","84000650014","comune.bollengo.to@legalmail.it",t,"L6",739
"c_a942","Comune di Nova Siri","82001130770","comune.novasiri@cert.ruparbasilicata.it",t,"L6",4635
"c_a944","Comune di Bologna","01232710374","ProtocolloGenerale@pec.comune.bologna.it",t,"L6",740
"c_a946","Comune di Bolognetta","86000850825","prot.bol@peccomunebolognetta.it",t,"L6",742
"c_a947","Comune di Bolognola","81000910430","comune@pec.comune.bolognola.mc.it",t,"L6",743
"c_a948","Comune di Bolotana","00052840915","protocollo@pec.comune.bolotana.nu.it",t,"L6",744
"c_a949","Comune di Bolsena","00119080562","postacertificata@pec.comune.bolsena.vt.it",t,"L6",745
"c_a950","Comune di Boltiere","84002910168","comune.boltiere@postecert.it",t,"L6",746
"c_a952","Comune di Bolzano","00389240219","bz@legalmail.it",t,"L6",747
"c_a958","Comune di Bompietro","83000810826","protocollo@pec.comune.bompietro.pa.it",t,"L6",753
"c_a959","Comune di Bomporto","00662760362","comunedibomporto@cert.comune.bomporto.mo.it",t,"L6",754
"c_a961","Comune di Bonassola","00218390110","comune.bonassola.sp@halleycert.it",t,"L6",756
"c_a962","Comune di Bonate Sotto","82000620169","comune.bonatesotto@pec.regione.lombardia.it",t,"L6",758
"c_a963","Comune di Bonate Sopra","82000950160","comune.bonatesopra.bg@halleycert.it",t,"L6",757
"c_a964","Comune di Bonavigo","00663500239","protocollo@pec.comune.bonavigo.vr.it",t,"L6",759
"c_a965","Comune di Bondeno","00113390389","comune.bondeno@cert.comune.bondeno.fe.it",t,"L6",760
"c_a967","Comune di Bondo","00271920225","comune@pec.comune.bondo.tn.it",t,"L6",761
"c_a968","Comune di Bondone","00273990226","comune@pec.comune.bondone.tn.it",t,"L6",762
"c_a972","Comune di Bonemerse","00308090190","comune.bonemerse@pec.regione.lombardia.it",t,"L6",765
